USER 1,USER 2,MOVIE,RATING 1,RATING 2,DIFFERENCE
1292,28839,107207,9,7,2
1292,963,110413,9,9,0
1292,21261,97937,9,8,1
1328,5971,106677,6,7,1
1353,13937,108052,10,7,3
1355,17078,110912,5,10,5
1365,11443,105695,9,9,0
1365,11443,110912,9,10,1
1365,34849,108358,8,10,2
1372,9283,108160,6,10,4
1372,19262,86879,10,10,0
1372,22475,71877,8,6,2
1401,13793,107290,8,10,2
1411,24825,103064,9,10,1
1411,11749,100403,9,4,5
1425,24277,95765,6,10,4
1425,32597,62229,8,10,2
1425,19260,60827,4,10,6
1425,33435,113247,2,8,6
1425,19262,80745,8,10,2
1425,8050,61512,8,8,0
1425,8050,93191,7,8,1
1425,32570,63462,5,8,3
1425,22628,79285,6,5,1
1425,4859,69293,7,8,1
1425,4859,108550,5,8,3
1425,31613,76759,8,8,0
1425,31613,80684,8,7,1
1425,27137,110832,8,7,1
1430,889,99700,7,7,0
1430,27357,97165,7,10,3
1430,10382,102926,8,8,0
1430,13793,104409,5,6,1
1430,23215,107818,7,9,2
1430,15968,96928,6,7,1
1430,18077,101507,8,9,1
1441,3187,107120,9,8,1
1443,30946,110413,8,9,1
1443,34044,112817,9,10,1
1449,11491,105236,8,10,2
1449,19562,102926,9,8,1
1449,22819,103874,5,10,5
1449,30431,99810,7,7,0
1449,5754,110357,10,9,1
1449,19185,107290,9,10,1
1449,28914,108052,10,8,2
1449,19262,98635,6,7,1
1449,35477,110005,5,8,3
1449,12928,111257,8,8,0
1449,21109,113568,9,5,4
1449,26902,112697,8,9,1
1449,18785,104815,7,10,3
1449,18785,112851,6,9,3
1456,16401,86879,10,9,1
1456,14157,104691,9,8,1
1486,191,111161,9,9,0
1486,1813,108052,10,10,0
1488,2731,107207,10,7,3
1488,2731,113277,9,7,2
1488,4623,110413,10,10,0
1488,11382,105323,9,8,1
1488,32228,112641,9,8,1
1490,1796,109830,8,8,0
1490,16556,110912,1,7,6
1492,16616,105236,9,6,3
1492,20937,93058,7,9,2
1492,11497,97937,10,7,3
1492,1817,99077,8,6,2
1492,27909,87544,9,9,0
1492,14157,95675,7,7,0
1530,11200,110912,9,10,1
1540,437,105236,8,7,1
1540,11506,110912,10,10,0
1540,11942,93058,9,9,0
1540,24572,108399,8,8,0
1540,20106,106977,8,8,0
1540,13021,113101,6,10,4
1555,11707,100258,9,7,2
1570,11009,106582,8,8,0
1610,20446,89424,10,9,1
1617,8162,94737,7,8,1
1617,15904,99685,8,9,1
1617,15904,112641,7,10,3
1617,20713,83922,8,7,1
1617,2461,98724,5,10,5
1621,19535,102536,9,8,1
1621,24111,108052,9,10,1
1621,12619,92593,9,10,1
1621,36058,106226,8,2,6
1624,32866,99685,8,10,2
1624,34477,104691,8,8,0
1624,30337,100502,7,4,3
1634,10103,99487,9,9,0
1646,6579,111161,9,8,1
1684,21728,104652,8,8,0
1684,35469,108211,8,7,1
1763,6643,113277,8,9,1
1763,8643,111161,10,9,1
1790,26632,111161,9,10,1
1790,25779,110912,6,10,4
1790,24434,112573,10,8,2
1790,17801,110478,7,8,1
1796,14185,109830,8,8,0
1796,35500,99487,8,10,2
1805,53,110912,10,10,0
1805,31617,108052,8,10,2
1805,34880,109445,6,8,2
1817,29291,107290,9,8,1
1817,7103,99077,6,9,3
1871,33117,105236,10,9,1
1871,9995,105323,10,9,1
1884,5933,63522,8,7,1
1888,33653,99685,10,9,1
1888,33653,108052,10,9,1
1888,9178,109830,10,8,2
1895,29224,86034,7,7,0
1895,29224,90264,7,8,1
1895,25426,86006,6,5,1
1895,26540,88763,8,10,2
1895,26540,96874,7,10,3
1895,29189,93870,7,10,3
1895,10579,110357,9,9,0
1895,10807,110989,6,2,4
1899,11009,106519,9,9,0
1916,6193,103639,9,8,1
1916,9495,110357,10,7,3
1916,17332,98554,7,6,1
1916,6579,112697,8,6,2
1916,35468,101414,10,7,3
1916,9283,98621,6,6,0
1947,29224,71807,8,7,1
1947,29224,76752,7,7,0
1947,29224,79574,7,6,1
1947,29224,82398,8,6,2
1947,33670,99785,8,8,0
1947,33670,104431,8,7,1
1950,33792,104348,7,7,0
1950,27114,106308,6,7,1
1950,10018,112818,7,8,1
1950,19446,96256,6,8,2
1950,29782,85244,5,5,0
1950,29782,93818,6,5,1
1950,16806,110005,6,9,3
1950,5195,113409,7,8,1
1950,27909,107507,7,7,0
2020,7790,108550,7,8,1
2029,21504,106489,9,9,0
2029,4316,112579,9,6,3
2029,34880,95497,8,7,1
2030,28541,97216,8,8,0
2030,28541,102526,8,6,2
2030,1916,97757,8,10,2
2032,27817,85694,9,9,0
2032,27817,90655,7,7,0
2109,11009,94964,10,9,1
2120,124,110912,6,4,2
2120,9925,112471,9,6,3
2168,9918,108052,10,9,1
2176,16716,91763,8,9,1
2176,23563,107554,8,8,0
2176,18705,93692,6,6,0
2176,23310,97770,6,7,1
2205,2867,86879,10,10,0
2207,4814,108052,8,10,2
2207,11510,105226,8,6,2
2224,29432,110912,9,8,1
2235,33095,51459,10,9,1
2235,33095,86879,10,10,0
2283,14524,81505,10,10,0
2309,18666,113409,4,8,4
2309,13394,105695,9,9,0
2309,2842,108550,7,7,0
2309,14228,110632,6,10,4
2309,1241,104036,7,9,2
2319,3758,95953,7,9,2
2319,13376,103874,8,8,0
2326,33752,106977,9,7,2
2326,6360,111686,6,8,2
2326,35176,95776,8,10,2
2326,10729,96794,7,6,1
2333,32172,110912,8,8,0
2333,11438,109830,9,9,0
2333,11936,112697,7,8,1
2333,33618,101889,6,8,2
2337,13394,107207,8,10,2
2337,2120,112471,5,9,4
2337,18575,113247,6,7,1
2337,9254,107048,8,9,1
2342,14447,78788,8,9,1
2342,9455,78935,7,7,0
2342,10579,102975,7,8,1
2345,28612,109520,6,5,1
2345,20901,112819,7,6,1
2347,1115,104409,6,6,0
2347,32771,109686,5,10,5
2347,32771,112442,6,10,4
2347,4023,96928,5,7,2
2376,17800,93779,10,8,2
2376,32378,89853,10,6,4
2376,3543,109424,10,5,5
2397,31613,66011,7,7,0
2401,19950,103759,7,7,0
2401,19950,112471,9,9,0
2401,4242,108160,8,8,0
2401,20446,104036,7,10,3
2421,17310,113277,10,8,2
2434,1234,112471,7,10,3
2439,18881,111161,10,10,0
2439,33457,110413,10,9,1
2458,16323,105236,9,6,3
2458,36074,102926,10,10,0
2458,14157,110912,10,8,2
2458,31275,99582,8,9,1
2461,28968,103064,10,10,0
2461,28968,113277,10,9,1
2461,25964,97576,10,9,1
2461,20929,99674,10,7,3
2461,20929,110912,10,10,0
2461,4667,105112,10,4,6
2461,11009,113161,8,9,1
2461,35591,98724,10,7,3
2485,27888,85959,8,7,1
2496,14755,90849,3,5,2
2496,8050,108394,9,8,1
2496,3943,111495,10,8,2
2496,3943,111507,8,8,0
2534,25404,113409,8,7,1
2547,27883,112471,8,9,1
2547,3430,112642,6,7,1
2547,32741,112573,8,8,0
2547,18696,109254,5,6,1
2547,5507,112691,8,8,0
2547,20901,108238,6,6,0
2547,20901,112461,7,8,1
2547,17301,112883,7,10,3
2574,28709,101889,7,7,0
2574,27307,110322,7,9,2
2574,34565,113247,9,10,1
2574,7240,102138,8,8,0
2574,3762,106677,8,7,1
2577,25404,79522,8,9,1
2577,10839,82085,7,8,1
2577,16806,109424,8,8,0
2577,32570,110057,10,9,1
2578,10440,110912,7,9,2
2578,25071,99423,6,8,2
2578,25071,105698,7,5,2
2578,25071,112864,7,8,1
2578,23647,96933,7,7,0
2578,11009,95016,8,10,2
2578,11009,113451,5,4,1
2578,34429,105236,8,7,1
2578,34429,113101,4,5,1
2578,4246,110308,6,7,1
2578,9307,95863,7,6,1
2578,9307,110823,6,6,0
2578,6623,102293,6,7,1
2603,1449,103874,10,5,5
2609,6168,64115,8,9,1
2610,18102,90605,8,8,0
2610,3988,84787,8,6,2
2623,9490,92890,7,9,2
2623,27045,99892,3,5,2
2623,35574,91042,5,8,3
2623,35574,94012,8,8,0
2634,11364,105323,9,9,0
2634,25071,112864,7,8,1
2634,14133,105695,8,7,1
2634,27580,110413,8,9,1
2634,30449,106977,7,8,1
2634,12730,112461,3,8,5
2634,4667,106856,6,7,1
2634,12220,104952,9,7,2
2635,20561,99685,8,9,1
2657,11631,99685,10,9,1
2657,26352,112641,9,9,0
2657,24545,101540,8,7,1
2657,11510,106226,7,6,1
2657,28909,102685,10,7,3
2677,11443,110912,8,10,2
2677,11455,111161,10,10,0
2677,11455,113277,10,8,2
2677,28395,112641,9,10,1
2677,23645,111257,8,7,1
2680,23021,110413,8,9,1
2680,36058,110729,7,6,1
2680,32423,108358,7,10,3
2680,27045,110005,8,7,1
2680,19033,110632,9,9,0
2684,28488,113277,10,8,2
2684,21364,112462,10,5,5
2684,18022,112641,10,10,0
2684,35792,109686,10,10,0
2684,3047,112281,10,8,2
2684,12292,110475,10,7,3
2684,1183,109506,7,10,3
2704,33794,99088,8,9,1
2712,13648,109836,4,8,4
2716,25085,111149,7,7,0
2716,5675,109831,10,6,4
2731,1488,107207,7,10,3
2731,1488,113277,7,9,2
2731,16556,107818,7,8,1
2731,16556,108550,7,8,1
2731,29064,109830,8,8,0
2731,21908,105236,6,7,1
2772,32598,101414,10,8,2
2772,27551,103639,10,8,2
2772,14604,102926,10,7,3
2772,35176,113497,7,10,3
2772,14417,107614,9,10,1
2772,21939,107120,8,10,2
2772,17801,101272,10,7,3
2772,4358,106220,8,7,1
2774,12364,105695,9,8,1
2774,31613,70735,10,6,4
2774,25549,89853,9,8,1
2774,20446,67411,6,9,3
2774,7103,107808,7,8,1
2775,31023,102975,10,8,2
2775,4973,110912,1,10,9
2779,22464,104431,10,8,2
2779,10579,107688,9,10,1
2783,33015,81398,8,8,0
2788,437,110413,9,9,0
2788,10161,110912,9,9,0
2788,20546,88247,8,10,2
2799,30165,64757,8,8,0
2799,10579,107206,7,8,1
2799,20713,95631,7,8,1
2816,7108,112384,9,10,1
2816,35276,103644,7,6,1
2816,36091,108071,9,10,1
2827,4605,112740,7,8,1
2827,8652,112819,7,7,0
2827,15834,106489,8,7,1
2827,18761,112864,8,8,0
2827,1763,106856,8,8,0
2827,19478,112442,8,8,0
2839,2841,111161,7,10,3
2839,32148,109830,7,10,3
2839,30968,104952,8,8,0
2839,6628,104797,7,10,3
2839,2842,110322,2,9,7
2842,33923,113247,7,9,2
2842,25102,108052,9,9,0
2842,9650,107207,9,10,1
2842,13394,110322,9,10,1
2842,13394,112573,10,10,0
2842,28914,105236,7,10,3
2842,36058,112471,8,8,0
2842,12220,108394,7,6,1
2842,3909,108550,7,8,1
2867,17963,99674,8,2,6
2867,17963,110912,10,5,5
2867,25964,97576,9,9,0
2867,14157,97814,9,6,3
2867,855,105236,9,9,0
2867,7412,100507,10,4,6
2867,29035,97757,9,10,1
2867,10514,106308,9,9,0
2867,4667,94862,9,7,2
2867,25404,99871,10,8,2
2867,25404,100814,9,5,4
2867,13376,93220,5,7,2
2867,13376,97474,6,7,1
2867,13376,97493,9,8,1
2867,13376,97527,7,10,3
2867,13376,101272,9,7,2
2867,13376,103874,5,8,3
2867,34849,104431,8,6,2
2867,34849,109415,6,2,4
2867,17801,103639,10,9,1
2867,17801,107614,9,9,0
2867,19446,107076,8,7,1
2867,13121,99611,8,9,1
2867,20145,92067,10,7,3
2867,26712,98213,9,7,2
2867,9797,99385,4,7,3
2867,28146,98503,7,6,1
2867,3543,111127,9,5,4
2870,20215,92005,8,8,0
2870,7771,108399,5,8,3
2870,32597,98724,8,7,1
2870,32597,100935,8,8,0
2870,32597,108122,9,8,1
2870,23015,97216,8,9,1
2870,11841,107048,7,5,2
2870,13723,89114,6,4,2
2870,8050,103874,7,7,0
2870,11009,110365,5,8,3
2870,32570,105151,5,8,3
2927,28050,112864,9,9,0
2927,14436,104257,9,8,1
2927,20546,100802,8,10,2
2927,13648,109836,7,8,1
2940,4740,106308,9,7,2
3047,191,111161,9,9,0
3047,1486,99674,7,8,1
3047,2684,112281,8,10,2
3084,2776,97958,10,9,1
3084,21278,94898,10,7,3
3120,19262,110413,9,8,1
3123,22685,107207,10,10,0
3123,16282,103074,8,8,0
3133,12786,112471,9,10,1
3133,7292,95765,10,8,2
3133,2684,78718,8,10,2
3179,26902,94862,5,7,2
3187,26902,103776,7,10,3
3187,26902,104431,9,7,2
3187,26902,110148,8,8,0
3187,13793,111503,8,8,0
3187,13793,113253,7,5,2
3187,10579,107977,7,10,3
3187,10579,109686,9,10,1
3187,10579,110475,8,7,1
3187,10579,110622,7,7,0
3187,13376,106977,8,8,0
3187,13376,109445,8,10,2
3187,13376,111282,7,8,1
3187,16485,107048,8,4,4
3187,25486,108308,7,6,1
3187,1441,107120,8,9,1
3187,34849,107362,6,6,0
3187,34849,109068,7,6,1
3187,4246,106770,7,6,1
3187,19182,112896,7,5,2
3187,11543,112817,7,10,3
3197,7029,108052,10,9,1
3197,27743,103939,9,8,1
3197,17667,96874,8,7,1
3222,25058,112471,10,8,2
3222,25964,97576,9,9,0
3225,34880,96283,7,8,1
3225,8050,91064,8,8,0
3247,20446,69762,10,8,2
3269,7626,84787,9,6,3
3269,17814,90756,5,8,3
3269,6579,103241,6,8,2
3269,11009,93777,7,6,1
3284,16556,105695,10,8,2
3292,32010,103064,9,8,1
3292,32010,106697,8,3,5
3292,32010,112281,7,8,1
3292,13376,104291,9,6,3
3292,13376,106582,7,10,3
3292,13376,111161,8,10,2
3292,17590,104714,10,9,1
3292,35176,110357,10,10,0
3292,35176,112864,9,7,2
3292,16282,105698,7,9,2
3292,16282,110475,8,7,1
3292,16282,110912,9,9,0
3292,30600,107290,10,9,1
3292,4667,112573,10,6,4
3292,10984,104070,7,7,0
3292,15124,104940,10,8,2
3292,25404,100814,7,5,2
3292,17801,110478,9,8,1
3292,26452,105812,8,9,1
3292,23215,103112,9,7,2
3292,7353,107501,8,6,2
3296,2816,103644,6,7,1
3296,35367,106977,7,8,1
3296,33095,107290,10,7,3
3296,17801,102945,8,8,0
3320,27648,97428,9,9,0
3320,4502,104868,9,7,2
3320,4502,109520,8,7,1
3320,4302,108037,6,8,2
3320,16282,110364,6,9,3
3320,26902,109506,10,10,0
3337,27524,99685,9,9,0
3337,25658,108052,10,9,1
3349,6740,95953,8,10,2
3349,8566,113277,9,9,0
3367,4884,112471,9,8,1
3367,28138,102926,9,9,0
3367,25549,96969,8,7,1
3367,4023,107362,8,7,1
3367,17801,94226,9,8,1
3367,17801,99810,8,8,0
3367,28914,89881,8,9,1
3367,35932,94074,1,1,0
3367,8050,88846,6,9,3
3367,26675,109445,5,7,2
3367,16716,109836,8,7,1
3367,17800,91474,2,7,5
3367,34303,106770,7,7,0
3367,11009,94663,6,7,1
3372,18529,106489,7,8,1
3372,29440,109707,8,8,0
3372,4573,101540,8,10,2
3372,15163,99077,8,9,1
3430,7113,111161,8,10,2
3430,2547,112642,7,6,1
3440,13648,99685,10,8,2
3461,2439,111161,10,10,0
3461,10808,113277,7,8,1
3461,27409,97165,8,8,0
3461,9005,99674,7,1,6
3461,8951,107822,9,6,3
3496,19372,109830,10,10,0
3524,34004,108394,10,7,3
3524,17800,93779,10,8,2
3524,21082,96283,10,8,2
3543,18052,110413,9,7,2
3543,7273,100405,7,9,2
3543,33390,107818,6,8,2
3543,19351,109424,5,9,4
3543,22900,110478,7,9,2
3543,2867,111127,5,9,4
3544,2487,111161,10,10,0
3544,21921,108052,9,10,1
3544,22685,107207,9,10,1
3570,3292,106582,6,7,1
3580,23913,112864,6,10,4
3580,13376,105104,5,8,3
3614,32597,57345,8,9,1
3614,1241,90756,8,9,1
3617,11510,106677,6,9,3
3617,11009,99871,8,8,0
3620,31977,107818,6,8,2
3620,28914,113277,8,8,0
3620,35477,112740,8,7,1
3632,7113,111161,10,10,0
3632,2940,106308,10,9,1
3632,3925,113627,8,7,1
3632,15251,110167,10,6,4
3632,27677,112697,10,7,3
3632,16214,107688,10,9,1
3632,20446,106881,10,8,2
3640,20901,104427,7,7,0
3640,13376,113277,7,9,2
3646,6380,110413,7,9,2
3646,35367,109830,9,10,1
3647,21718,111161,5,9,4
3647,1888,109830,8,10,2
3647,18022,112573,8,10,2
3647,18022,112641,9,10,1
3647,8282,110357,7,9,2
3647,1045,110622,10,7,3
3647,2684,110475,9,10,1
3673,34849,93777,8,8,0
3673,3187,92675,7,7,0
3673,26872,97659,7,7,0
3673,22090,99385,7,5,2
3673,27137,113409,6,7,1
3683,15394,81398,9,9,0
3688,10579,99487,10,8,2
3694,34849,93870,8,7,1
3724,17963,93870,9,6,3
3724,35792,85334,8,6,2
3724,30449,106977,9,8,1
3724,25404,90728,8,8,0
3724,33752,93105,8,6,2
3725,7851,108052,10,9,1
3725,31979,81398,8,9,1
3725,2337,82971,8,7,1
3725,33653,88763,9,8,1
3725,6628,87843,9,8,1
3725,18689,112864,9,9,0
3755,35935,105236,8,10,2
3758,18032,95953,9,7,2
3758,17814,102926,8,9,1
3758,33653,112573,7,8,1
3762,23588,99785,8,10,2
3762,23588,110322,8,10,2
3762,27534,105323,9,9,0
3762,2574,106677,7,8,1
3762,26769,93058,7,9,2
3802,25950,110912,9,9,0
3802,22594,100157,8,8,0
3802,35176,90633,8,10,2
3833,20106,60196,9,9,0
3844,35853,111161,10,10,0
3844,27751,110912,7,6,1
3844,27839,112864,8,8,0
3849,16623,94898,7,9,2
3849,13376,93300,2,2,0
3865,12903,89530,8,6,2
3866,17801,104389,6,8,2
3892,34397,112471,8,8,0
3892,19009,112384,6,7,1
3894,28952,96874,8,10,2
3903,16806,107808,7,8,1
3903,20446,108101,8,10,2
3905,34849,109445,8,10,2
3905,21883,109707,9,6,3
3905,15846,106226,5,7,2
3905,27817,107664,7,7,0
3909,18275,109830,10,10,0
3909,12292,108052,10,10,0
3909,13657,106519,8,7,1
3909,7292,112641,9,8,1
3909,17667,104573,8,7,1
3909,1998,108550,8,9,1
3909,23563,107554,9,8,1
3909,11009,104684,8,9,1
3917,20016,110413,10,8,2
3917,1790,112573,9,10,1
3917,26872,104797,6,10,4
3925,3632,113627,7,8,1
3943,8050,102494,7,7,0
3943,8050,108394,7,8,1
3943,3133,112471,8,9,1
3943,26902,106308,5,8,3
3943,11200,110428,7,7,0
3943,20106,99077,8,10,2
3943,9145,107614,6,8,2
3943,9178,107822,9,8,1
3943,13376,111149,7,9,2
3943,33991,113497,6,8,2
3943,20857,111495,8,10,2
3943,20857,111507,8,9,1
3943,12469,102687,5,3,2
3943,14498,100054,6,8,2
3943,17527,101765,8,5,3
3943,7706,93978,7,5,2
3943,6414,97136,2,7,5
3943,34303,106387,6,6,0
3943,19885,94315,8,9,1
3943,16806,94924,7,7,0
3943,35477,100998,8,9,1
3943,27137,92843,5,8,3
3953,17252,112573,10,10,0
3983,6727,97770,7,5,2
3983,18022,112573,9,10,1
3988,34854,88763,9,10,1
3988,34854,110912,9,9,0
3988,12645,109830,8,8,0
4005,2029,88846,10,9,1
4007,31674,107818,9,8,1
4007,2224,110912,10,9,1
4007,6891,103064,9,10,1
4007,26063,105236,8,8,0
4007,17415,110632,9,9,0
4012,30896,99077,10,9,1
4012,26808,104940,9,7,2
4012,26902,111257,8,8,0
4012,25404,83511,7,6,1
4016,20649,57012,10,9,1
4023,24259,113189,6,7,1
4023,3367,107362,7,8,1
4023,2347,96928,7,5,2
4023,10579,102510,8,8,0
4092,32560,107688,8,7,1
4092,1353,108052,9,10,1
4092,19182,112682,7,7,0
4095,19675,86637,10,9,1
4095,19675,89853,7,8,1
4095,32378,93818,8,6,2
4095,21037,91167,9,6,3
4095,27909,84329,6,7,1
4103,3372,99077,10,8,2
4103,3372,101540,9,8,1
4103,12860,112471,8,8,0
4105,34598,109830,10,10,0
4105,10926,111070,10,8,2
4112,26666,80861,7,8,1
4112,26049,81505,10,10,0
4112,15819,95953,9,9,0
4112,10263,95016,10,9,1
4112,10440,80761,9,6,3
4112,22953,83131,10,7,3
4112,22953,107048,9,8,1
4112,26872,106611,8,8,0
4112,34849,88128,9,9,0
4112,13376,83550,8,6,2
4117,735,111161,9,9,0
4117,2684,112281,8,10,2
4123,11081,95016,9,8,1
4123,4335,97216,9,10,1
4137,22471,105236,9,8,1
4137,4242,102926,10,9,1
4137,12220,107048,10,8,2
4141,4162,83658,7,10,3
4141,34429,100802,7,7,0
4162,191,111161,10,9,1
4162,1486,108052,9,10,1
4162,28312,110912,10,8,2
4163,21883,97441,9,10,1
4163,5675,92593,6,9,3
4185,35367,106977,8,8,0
4185,27184,113277,9,8,1
4188,18705,113277,9,8,1
4193,29224,79574,5,6,1
4193,29224,90264,7,8,1
4193,29224,113189,8,7,1
4242,4137,102926,9,10,1
4242,16623,108160,8,10,2
4242,13376,95990,2,7,5
4246,23563,105695,7,10,3
4246,27094,110527,8,6,2
4246,13793,95271,5,8,3
4246,20539,112401,6,7,1
4246,13376,96061,6,7,1
4246,13376,106856,6,8,2
4246,13376,107211,5,5,0
4246,13376,113492,5,8,3
4246,10094,103759,5,8,3
4246,32433,103772,7,7,0
4246,32433,109446,5,6,1
4246,12321,103776,8,8,0
4246,302,112740,7,9,2
4246,3187,106770,6,7,1
4246,20507,109635,6,5,1
4246,5507,93886,7,8,1
4246,6727,97770,6,5,1
4246,7311,99582,6,6,0
4246,10579,98141,5,8,3
4246,20446,110308,7,8,1
4246,26872,99739,6,8,2
4280,16157,99685,9,10,1
4281,28146,76723,8,8,0
4302,19185,107290,8,10,2
4302,5754,113277,8,8,0
4302,17801,104257,7,8,1
4302,17801,106918,7,8,1
4302,17801,112642,6,8,2
4302,32010,112442,8,9,1
4302,26902,105121,7,7,0
4302,13376,103956,5,6,1
